col1,col2,col3,col4,col5,class
0,22,2,0,13,2
1,14,2,0,11,2
0,22,2,1,40,2
0,4,1,1,27,2
1,6,10,1,43,2
1,22,2,0,14,2
1,8,4,1,13,2
1,9,2,1,21,2
0,21,2,0,44,2
1,14,2,0,14,2
1,9,21,1,3,2
1,12,0,1,24,2
1,17,20,1,23,2
1,5,16,1,33,2
1,5,16,1,34,1
1,5,16,1,35,1
1,6,10,1,4,1
1,21,2,1,38,1
1,12,2,0,4,1
1,6,24,1,34,1
1,24,6,1,21,1
1,24,6,1,17,1
1,1,8,1,25,1
1,0,14,0,16,1
1,14,12,1,31,1
1,6,10,1,7,1
1,7,2,1,18,1
1,13,14,1,32,1
1,20,1,1,34,0
1,21,2,1,22,0
1,10,0,1,41,0
1,17,4,1,13,0
1,12,0,1,25,0
0,12,2,0,7,0
1,4,1,1,31,0
1,15,7,1,30,0
1,3,15,1,15,0
1,4,1,1,39,0
1,13,14,1,32,0
0,22,2,0,13,2
1,14,2,0,11,2
0,22,2,1,40,2
0,4,1,1,27,2
1,6,10,1,43,2
1,22,2,0,14,2
1,8,4,1,13,2
1,9,2,1,21,2
0,21,2,1,44,2
1,14,2,0,14,2
1,9,21,1,3,2
1,12,0,1,24,2
1,17,20,1,23,2
1,5,16,1,33,2
1,5,16,1,34,1
1,5,16,1,35,1
1,6,10,1,4,1
1,21,2,1,38,1
1,12,2,0,4,1
1,6,24,1,34,1
1,24,6,1,21,1
1,24,6,1,17,1
1,1,8,1,25,1
1,0,14,0,16,1
1,14,12,1,31,1
1,6,10,1,7,1
1,7,2,1,18,1
1,13,14,1,32,1
1,20,1,1,34,0
1,21,2,1,22,0
1,10,0,1,41,0
1,17,4,1,13,0
1,12,0,1,25,0
0,12,2,0,7,0
1,4,1,1,31,0
1,15,7,1,30,0
1,3,15,1,15,0
1,4,1,1,39,0
1,13,14,1,32,0
0,22,2,0,19,2
0,12,2,0,11,2
1,15,18,1,5,2
1,8,1,1,33,2
1,12,2,0,5,2
1,17,20,1,13,2
0,21,2,1,37,2
1,6,10,0,14,2
1,22,2,0,14,2
0,22,2,0,14,2
0,22,2,1,32,2
1,13,21,1,11,2
0,16,16,1,13,2
1,8,4,1,18,2
1,17,24,1,19,2
0,16,16,1,25,2
1,0,14,1,25,2
1,0,7,1,12,1
0,10,15,1,16,1
0,21,12,1,21,1
1,8,1,1,8,1
1,12,0,1,14,1
0,5,16,1,29,1
1,22,2,0,14,1
0,22,2,0,14,1
1,5,16,1,31,1
0,21,2,1,9,1
1,19,1,1,19,1
1,22,2,1,4,1
1,19,1,1,8,0
0,22,2,1,32,0
1,12,0,1,23,0
1,9,2,1,13,0
1,6,10,1,24,0
0,13,14,1,26,0
1,7,2,1,21,0
1,11,6,1,28,0
1,7,6,1,17,0
1,14,0,1,45,0
1,22,2,1,6,0
1,1,8,1,23,0
1,14,0,1,13,0
1,19,1,1,0,0
1,12,13,1,11,2
1,8,5,1,2,2
0,9,2,1,15,2
1,13,14,1,30,2
0,12,0,1,42,2
0,7,2,1,23,2
1,19,1,1,37,2
1,21,0,1,5,1
1,17,11,1,10,1
1,19,14,1,12,1
0,16,17,1,36,1
1,13,22,1,11,1
1,23,25,1,15,1
1,8,23,1,14,1
1,11,7,1,18,1
1,8,5,1,1,1
1,21,0,1,34,1
1,6,10,1,24,0
1,9,2,1,13,0
1,22,2,1,5,0
1,16,17,1,23,0
1,15,19,1,9,0
1,2,1,1,31,0
1,18,3,1,4,0
1,22,2,1,18,0
1,2,1,1,20,0
1,9,2,1,6,0
0,17,6,1,39,0
1,21,0,1,41,0
1,1,9,1,21,0
